firstname,p_r_f_his,p_r_f_whi,p_r_f_bla,p_r_f_asi,p_r_f_oth
DEBBY,0.01369863,0.945205479,0,0.04109589,0
DEBI,0.017857143,0.964285714,0,0.017857143,0
DEBORA,0.026030369,0.913232104,0.04989154,0.006507592,0.004338395
DEBORAH,0.014926774,0.939447991,0.036518964,0.006759294,0.002346977
DEBRA,0.016013028,0.942597367,0.036504275,0.003799701,0.001085629
DEBRAH,0,0.971428571,0.028571429,0,0
DECLAN,0,1,0,0,0
DEDRA,0.029411765,0.735294118,0.235294118,0,0
DEE,0.035242291,0.898678414,0.022026432,0.035242291,0.008810573
DEEANN,0.019230769,0.980769231,0,0,0
DEENA,0.005494505,0.917582418,0.043956044,0.032967033,0
DEEPA,0,0.105263158,0,0.859649123,0.035087719
DEEPAK,0.007042254,0.169014085,0,0.795774648,0.028169014
DEIDRA,0.013333333,0.68,0.306666667,0,0
DEIDRE,0.017857143,0.773809524,0.178571429,0.011904762,0.017857143
DEIRDRE,0.004608295,0.930875576,0.064516129,0,0
DEL,0.016129032,0.903225806,0.064516129,0.016129032,0
DELAINE,0,1,0,0,0
DELANA,0,0.933333333,0.066666667,0,0
DELBERT,0.015463918,0.922680412,0.051546392,0.010309278,0
DELFINA,0.780487805,0.146341463,0,0.073170732,0
DELFINO,0.885714286,0.085714286,0,0.028571429,0
DELIA,0.554054054,0.310810811,0.030405405,0.101351351,0.003378378
DELILAH,0.205882353,0.441176471,0.264705882,0.058823529,0.029411765
DELL,0,0.918918919,0.054054054,0.027027027,0
DELLA,0.04109589,0.787671233,0.150684932,0.01369863,0.006849315
DELMA,0.305555556,0.611111111,0,0.083333333,0
DELMAR,0.022727273,0.909090909,0.022727273,0.045454545,0
DELORES,0.02742616,0.687763713,0.270042194,0,0.014767932
DELORIS,0,0.563218391,0.436781609,0,0
DELPHINE,0.023809524,0.595238095,0.357142857,0.023809524,0
DELYNN,0,1,0,0,0
DEMETRIA,0.170731707,0.365853659,0.414634146,0.048780488,0
DEMETRIO,0.80952381,0.047619048,0,0.142857143,0
DEMETRIOS,0,1,0,0,0
DEMETRIUS,0.08,0.22,0.7,0,0
DENA,0.015584416,0.937662338,0.033766234,0.01038961,0.002597403
DENEEN,0.024390244,0.780487805,0.195121951,0,0
DENICE,0.072580645,0.879032258,0.032258065,0.008064516,0.008064516
DENIS,0.038560411,0.910025707,0.020565553,0.028277635,0.002570694
DENISE,0.030057803,0.902119461,0.054142582,0.011368015,0.002312139
DENNIS,0.0151022,0.934904309,0.019268324,0.028381721,0.002343445
DENNY,0.040650407,0.804878049,0,0.146341463,0.008130081
DENTON,0,0.941176471,0.029411765,0.029411765,0
DENVER,0.041666667,0.833333333,0.104166667,0,0.020833333
DEON,0,0.551020408,0.448979592,0,0
DEREK,0.007849294,0.904238619,0.040816327,0.043956044,0.003139717
DERIC,0.03030303,0.787878788,0.090909091,0.090909091,0
DERICK,0.014084507,0.746478873,0.211267606,0.014084507,0.014084507
DERIK,0.024390244,0.951219512,0.024390244,0,0
DERON,0,0.909090909,0.090909091,0,0
DERRICK,0.030100334,0.553511706,0.351170569,0.056856187,0.008361204
DESIREE,0.11550152,0.714285714,0.124620061,0.03343465,0.012158055
DESMOND,0.073684211,0.494736842,0.357894737,0.063157895,0.010526316
DESPINA,0.027777778,0.972222222,0,0,0
DEVIN,0.012383901,0.891640867,0.058823529,0.034055728,0.003095975
DEVON,0.024154589,0.850241546,0.111111111,0.014492754,0
DEWAYNE,0,0.734513274,0.247787611,0.008849558,0.008849558
DEWEY,0.008547009,0.905982906,0.051282051,0.025641026,0.008547009
DEWITT,0,0.84375,0.15625,0,0
DEXTER,0.030769231,0.369230769,0.415384615,0.176923077,0.007692308
DIAN,0.011627907,0.813953488,0.046511628,0.11627907,0.011627907
DIANA,0.11141754,0.835907336,0.019029233,0.029233315,0.004412576
DIANE,0.016427105,0.944695414,0.024640657,0.012457221,0.001779603
DIANN,0.007246377,0.913043478,0.072463768,0.007246377,0
DIANNA,0.050104384,0.881002088,0.054279749,0.010438413,0.004175365
DIANNE,0.012872084,0.921158488,0.050683829,0.012872084,0.002413516
DICK,0.026666667,0.733333333,0,0.24,0
DIEGO,0.833333333,0.151515152,0,0.01010101,0.005050505
DIEM,0,0.028571429,0,0.971428571,0
DIEP,0,0.021276596,0,0.957446809,0.021276596
DIETER,0,0.983870968,0,0.016129032,0
DIEU,0,0,0,1,0
DIGNA,0.733333333,0.1,0,0.166666667,0
DILIP,0.015625,0.3125,0,0.65625,0.015625
DILLON,0,0.914893617,0.042553191,0.042553191,0
DIMITRI,0.029850746,0.895522388,0.059701493,0.014925373,0
DIMITRIOS,0.016949153,0.966101695,0.016949153,0,0
DINA,0.099391481,0.845841785,0.022312373,0.028397566,0.004056795
DINAH,0.02739726,0.794520548,0.068493151,0.109589041,0
DINESH,0.010752688,0.193548387,0,0.774193548,0.021505376
DINH,0.02173913,0,0,0.97826087,0
DINO,0.030075188,0.894736842,0.015037594,0.060150376,0
DION,0.068627451,0.68627451,0.215686275,0.029411765,0
DIONISIO,0.459459459,0.081081081,0,0.459459459,0
DIONNE,0.038461538,0.538461538,0.397435897,0.025641026,0
DIPAK,0.022222222,0.155555556,0,0.822222222,0
DIRK,0.004950495,0.98019802,0.00990099,0.004950495,0
DIXIE,0.011857708,0.964426877,0.015810277,0.003952569,0.003952569
DMITRI,0.026315789,0.947368421,0.026315789,0,0
DMITRIY,0,0.988235294,0,0.011764706,0
DMITRY,0.011111111,0.988888889,0,0,0
DO,0,0,0,1,0
DOAN,0,0.033333333,0,0.966666667,0
DOLLY,0.025974026,0.623376623,0.064935065,0.25974026,0.025974026
DOLORES,0.214752568,0.703081232,0.046685341,0.030812325,0.004668534
DOMENIC,0.009259259,0.972222222,0,0.018518519,0
DOMENICK,0,1,0,0,0
DOMENICO,0.050847458,0.949152542,0,0,0
DOMINGO,0.741721854,0.072847682,0.013245033,0.17218543,0
DOMINIC,0.048780488,0.891986063,0.015679443,0.043554007,0
DOMINICK,0.02,0.948,0.012,0.016,0.004
DOMINIQUE,0.072992701,0.729927007,0.160583942,0.02919708,0.00729927
DON,0.007980846,0.876296887,0.038308061,0.074221868,0.003192338
DONA,0.005847953,0.947368421,0.011695906,0.023391813,0.011695906
DONAL,0,1,0,0,0
DONALD,0.007215127,0.950572234,0.032509537,0.007215127,0.002487975
DONATO,0.125,0.7,0,0.175,0
DONG,0,0.026595745,0,0.973404255,0
DONITA,0,0.866666667,0.133333333,0,0
DONN,0.030612245,0.93877551,0,0.020408163,0.010204082
DONNA,0.01126101,0.950830639,0.026089865,0.009365593,0.002452893
DONNELL,0,0.479166667,0.520833333,0,0
DONNIE,0.008196721,0.831967213,0.131147541,0.020491803,0.008196721
DONNY,0,0.788461538,0.076923077,0.134615385,0
DONOVAN,0.02962963,0.792592593,0.155555556,0.022222222,0
DORA,0.484455959,0.388601036,0.077720207,0.046632124,0.002590674
DORCAS,0.052631579,0.631578947,0.210526316,0.105263158,0
DOREEN,0.02685624,0.894154818,0.052132701,0.020537125,0.006319115
DORENE,0.058139535,0.88372093,0.034883721,0.011627907,0.011627907
DORI,0.013513514,0.932432432,0.013513514,0.027027027,0.013513514
DORIAN,0.076923077,0.717948718,0.192307692,0,0.012820513
DORINA,0,1,0,0,0
DORINDA,0.018181818,0.854545455,0.054545455,0.036363636,0.036363636
DORIS,0.063063063,0.762762763,0.134384384,0.033783784,0.006006006
DORIT,0,1,0,0,0
DORON,0,1,0,0,0
DOROTA,0.016129032,0.951612903,0,0.032258065,0
DOROTHEA,0.008333333,0.808333333,0.15,0.025,0.008333333
DOROTHY,0.017100661,0.828604742,0.131752818,0.016712009,0.005829771
DOUG,0.00913242,0.95890411,0.002283105,0.029680365,0
DOUGLAS,0.007877719,0.967666079,0.012110523,0.010111699,0.00223398
DOUGLASS,0,0.962264151,0.018867925,0.018867925,0
DOV,0,1,0,0,0
DOYLE,0,0.95890411,0.02739726,0.01369863,0
