firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
KARI,2.73E-05,0.000373963,4.46E-05,3.00E-05,0.000116836
KARIE,0,3.10E-05,1.79E-05,5.99E-06,0
KARIM,1.09E-05,2.10E-05,8.04E-05,9.58E-05,0.000116836
KARIN,7.10E-05,0.000309204,2.68E-05,4.19E-05,0.000116836
KARINA,0.000616971,3.88E-05,3.57E-05,1.80E-05,0.000116836
KARINE,5.46E-06,1.50E-05,8.93E-06,0,0
KARISSA,1.09E-05,1.92E-05,3.57E-05,1.20E-05,0
KARL,5.46E-05,0.000607462,0.000357188,0.00022164,0.000233672
KARLA,0.00068249,0.000314676,0.000330398,3.00E-05,0.000350508
KARLEEN,0,1.32E-05,2.68E-05,5.99E-06,0
KARLENE,0,2.01E-05,3.57E-05,5.99E-06,0
KARLI,0,1.00E-05,0,0,0
KARMA,0,1.23E-05,8.93E-06,1.80E-05,0
KARMEN,5.46E-06,1.37E-05,1.79E-05,0,0
KAROL,1.64E-05,5.15E-05,4.46E-05,1.20E-05,0.000233672
KAROLYN,0,2.46E-05,1.79E-05,0,0
KARON,5.46E-06,2.83E-05,5.36E-05,5.99E-06,0
KARRI,5.46E-06,2.65E-05,0,0,0
KARRIE,0,5.06E-05,0,5.99E-06,0.000116836
KARRY,0,7.30E-06,0,0,0
KARTHIK,0,2.74E-06,0,0.000143767,0
KARY,5.46E-06,1.41E-05,4.46E-05,0,0
KARYN,5.46E-06,0.000130887,4.46E-05,4.79E-05,0
KASEY,5.46E-06,7.07E-05,1.79E-05,3.00E-05,0.000116836
KASSANDRA,5.46E-06,1.23E-05,2.68E-05,0,0
KATARINA,0,8.21E-06,0,0,0
KATARZYNA,0,4.83E-05,0,0,0
KATE,1.64E-05,0.000179685,0.000107156,7.79E-05,0
KATELYN,0,2.60E-05,0,3.59E-05,0
KATERINA,5.46E-06,1.50E-05,0,0,0.000116836
KATHARINE,5.46E-06,0.000163723,2.68E-05,3.00E-05,0.000233672
KATHE,0,1.14E-05,0,0,0
KATHERIN,0,9.12E-06,0,0,0
KATHERINE,0.000480473,0.002064095,0.000669727,0.00062898,0.000934689
KATHERYN,1.09E-05,4.06E-05,8.93E-06,5.99E-06,0.000116836
KATHI,0,7.25E-05,8.93E-06,5.99E-06,0.000116836
KATHIE,2.73E-05,8.57E-05,1.79E-05,6.59E-05,0
KATHLEEN,0.000458633,0.004840087,0.000500063,0.000545116,0.002804066
KATHLYN,5.46E-06,1.92E-05,1.79E-05,5.99E-06,0
KATHRIN,0,7.30E-06,0,0,0
KATHRINE,1.09E-05,2.78E-05,3.57E-05,0,0
KATHRYN,0.000251156,0.002092826,0.000428625,0.000179709,0.000817853
KATHRYNE,0,1.55E-05,8.93E-06,0,0
KATHY,0.000333055,0.001494485,0.000687586,0.000593038,0.001051525
KATI,0,1.50E-05,0,5.99E-06,0
KATIE,3.28E-05,0.000478399,0.000223242,0.000167728,0.000233672
KATINA,0,2.28E-05,0.000205383,0,0
KATRIN,0,1.37E-05,0,0,0
KATRINA,7.10E-05,0.000237603,0.000767953,5.99E-05,0.000701016
KATY,2.73E-05,5.84E-05,8.93E-06,5.39E-05,0
KAUSHIK,5.46E-06,2.74E-06,0,0.000161738,0.000116836
KAVITA,0,5.47E-06,0,0.000251592,0
KAVITHA,0,2.74E-06,0,0.000161738,0.000116836
KAY,5.46E-05,0.000416376,0.00027682,0.000227631,0.000233672
KAYCE,0,9.58E-06,0,0,0
KAYE,5.46E-06,6.38E-05,5.36E-05,1.20E-05,0
KAYLA,2.18E-05,0.000106716,4.46E-05,5.39E-05,0
KAYLEE,0,1.09E-05,0,0,0
KAYLEEN,0,7.75E-06,0,0,0
KAYLYN,0,8.21E-06,0,0,0
KAZIMIERZ,0,1.55E-05,0,0,0
KE,0,0,0,0.00022164,0
KEE,0,0,0,8.99E-05,0
KEEGAN,0,1.23E-05,0,0,0
KEELY,0,3.33E-05,1.79E-05,0,0.000116836
KEENAN,0,9.12E-06,8.04E-05,1.20E-05,0
KEIKO,0,5.47E-06,1.79E-05,0.000149757,0.000233672
KEISHA,1.09E-05,9.12E-06,0.000517922,0,0
KEITH,0.000191097,0.002329517,0.002223492,0.000527145,0.001752541
KELI,0,1.82E-05,1.79E-05,5.99E-06,0.000116836
KELLE,0,1.78E-05,0,0,0
KELLEE,0,1.82E-05,4.46E-05,5.99E-06,0
KELLEEN,0,6.84E-06,0,0,0
KELLEY,5.46E-06,0.000299171,6.25E-05,2.40E-05,0.000233672
KELLI,2.18E-05,0.000384452,0.000214313,3.00E-05,0.000467344
KELLIE,2.18E-05,0.000226658,7.14E-05,3.00E-05,0.000467344
KELLY,0.000278456,0.003186896,0.000455414,0.000664921,0.001986213
KELSEY,5.46E-06,6.57E-05,1.79E-05,5.99E-06,0.000116836
KELVIN,6.55E-05,3.01E-05,0.000839391,0.000353427,0.000116836
KEN,2.73E-05,0.00019291,7.14E-05,0.000922504,0
KENDAL,5.46E-06,1.23E-05,2.68E-05,0,0
KENDALL,1.09E-05,0.000104436,0.000142875,2.40E-05,0
KENDRA,1.09E-05,0.000195191,0.000303609,1.80E-05,0.000350508
KENDRICK,0,8.67E-06,0.000116086,1.80E-05,0
KENIA,0.000120118,2.28E-06,2.68E-05,0,0
KENNA,0,1.41E-05,1.79E-05,0,0
KENNETH,0.000726169,0.005262392,0.004714875,0.001623367,0.003505082
KENNY,5.46E-05,8.71E-05,0.000125016,0.000778737,0.000350508
KENT,2.18E-05,0.000492993,0.000187523,0.000317485,0.000116836
KENTON,0,3.92E-05,4.46E-05,5.99E-06,0.000116836
KENYA,5.46E-06,5.02E-06,0.000303609,0,0.000233672
KENYON,5.46E-06,1.14E-05,1.79E-05,2.40E-05,0
KEREN,2.73E-05,1.32E-05,8.93E-06,1.80E-05,0
KERI,2.18E-05,0.000177861,1.79E-05,1.80E-05,0.000116836
KERIN,0,1.00E-05,0,0,0
KERMIT,0,2.78E-05,8.04E-05,0,0
KERRI,2.73E-05,0.000226658,2.68E-05,1.80E-05,0
KERRIE,0,5.56E-05,8.93E-06,0,0
KERRY,6.01E-05,0.000607918,0.000303609,8.99E-05,0.000350508
KERSTIN,0,2.33E-05,0,0,0.000233672
KETAN,0,3.19E-06,0,0.000167728,0.000116836
KEVAN,0,1.55E-05,0,0,0
KEVEN,5.46E-06,2.28E-05,1.79E-05,1.20E-05,0
KEVIN,0.00065519,0.006234241,0.00372368,0.002851375,0.002570394
KHALED,1.09E-05,1.78E-05,1.79E-05,8.99E-05,0.000233672
KHALID,5.46E-06,1.87E-05,3.57E-05,0.000263572,0.000233672
KHALIL,0,1.60E-05,3.57E-05,2.40E-05,0
KHANG,0,0,0,0.000101835,0
KHANH,0,9.12E-07,0,0.000814679,0.000233672
KHOA,0,9.12E-07,8.93E-06,0.000287534,0
KHOI,5.46E-06,4.56E-07,0,0.000239611,0
KI,0,1.82E-06,8.93E-06,0.00042531,0
KIA,0,6.38E-06,0.000142875,3.00E-05,0
KIEN,0,4.56E-07,0,0.000197679,0
KIERAN,1.09E-05,2.74E-05,0,0,0
KIERSTEN,5.46E-06,1.50E-05,1.79E-05,0,0
KIET,0,9.12E-07,0,0.000257582,0.000116836
KIEU,0,0,0,0.000107825,0
KILEY,0,1.32E-05,8.93E-06,0,0
KIM,0.000136498,0.001241375,0.001268016,0.001886939,0.001986213
KIMBALL,0,1.09E-05,0,0,0
KIMBER,0,2.28E-05,1.79E-05,0,0
KIMBERLEE,1.64E-05,0.000105804,8.93E-06,3.00E-05,0.000116836
KIMBERLEY,3.82E-05,0.000191542,0.000223242,3.00E-05,0.000233672
KIMBERLI,0,1.32E-05,1.79E-05,5.99E-06,0
KIMBERLIE,5.46E-06,2.33E-05,8.93E-06,0,0
KIMBERLY,0.000573291,0.004130469,0.003232547,0.000515164,0.003154574
KIN,0,0,0,0.000443281,0
KING,1.09E-05,3.65E-06,5.36E-05,0.000275553,0.000233672
KINGA,0,7.75E-06,0,0,0
KIP,0,5.38E-05,0,5.99E-06,0
KIRA,5.46E-06,3.79E-05,4.46E-05,0,0
KIRAN,5.46E-06,8.67E-06,0,0.000557096,0.000233672
KIRBY,1.09E-05,5.75E-05,7.14E-05,3.00E-05,0.000116836
KIRK,2.18E-05,0.000493449,0.000241102,8.99E-05,0.000467344
KIRSTEN,1.64E-05,0.000229851,8.93E-06,1.20E-05,0.000116836
KIRSTIN,5.46E-06,3.60E-05,0,1.20E-05,0
KIRT,0,1.78E-05,8.93E-06,5.99E-06,0
KISHORE,0,3.19E-06,0,0.00020966,0
KIT,0,1.60E-05,0,0.000233621,0.000116836
KITTY,5.46E-06,3.01E-05,1.79E-05,0.000101835,0.000116836
KLAUS,5.46E-06,4.20E-05,0,0,0
KOJI,0,0,0,8.99E-05,0
KONG,0,0,0,0.000179709,0.000116836
KONRAD,1.09E-05,1.60E-05,8.93E-06,5.99E-06,0
KONSTANTIN,0,2.28E-05,0,1.80E-05,0
KONSTANTINOS,5.46E-06,2.19E-05,0,0,0
KOREY,0,1.78E-05,5.36E-05,0,0
KORI,0,3.42E-05,8.93E-06,0,0
KORY,0,5.38E-05,1.79E-05,1.20E-05,0
KOSTAS,0,8.21E-06,0,0,0
KOU,0,0,0,0.000113815,0
KRAIG,5.46E-06,3.69E-05,1.79E-05,5.99E-06,0
KRIS,3.28E-05,0.000197927,1.79E-05,0.000143767,0.000116836
KRISHNA,1.09E-05,1.55E-05,1.79E-05,0.000545116,0.00058418
KRISTA,3.82E-05,0.000355265,3.57E-05,2.40E-05,0
KRISTAL,2.18E-05,2.46E-05,3.57E-05,1.20E-05,0.000116836
KRISTAN,1.64E-05,3.47E-05,0,1.20E-05,0
KRISTEN,0.000109198,0.001112769,0.000125016,4.19E-05,0.000350508
KRISTI,6.55E-05,0.000451948,9.82E-05,0.000119806,0.000701016
KRISTIAN,3.28E-05,4.42E-05,8.93E-06,0,0
KRISTIE,2.73E-05,0.000206136,5.36E-05,8.39E-05,0.000233672
KRISTIN,8.19E-05,0.00115883,0.000116086,0.000101835,0
KRISTINA,0.000136498,0.000512147,0.000142875,0.000113815,0.000350508
KRISTINE,9.83E-05,0.000680431,6.25E-05,0.000263572,0.00058418
KRISTOFER,1.09E-05,3.06E-05,0,1.20E-05,0
KRISTOFFER,0,1.69E-05,8.93E-06,3.00E-05,0
KRISTOPHER,3.28E-05,0.000195647,4.46E-05,2.40E-05,0.000116836
KRISTY,2.73E-05,0.000322885,9.82E-05,8.99E-05,0.000116836
KRISTYN,0,2.60E-05,0,0,0
KRYSTA,0,1.00E-05,0,0,0
KRYSTAL,6.01E-05,7.94E-05,0.000241102,5.99E-06,0.000233672
KRYSTLE,2.18E-05,1.55E-05,7.14E-05,5.99E-06,0.000116836
KRYSTYNA,5.46E-06,3.10E-05,0,5.99E-06,0.000116836
KRZYSZTOF,0,6.34E-05,0,5.99E-06,0
KULWANT,5.46E-06,1.37E-06,0,0.000179709,0
KULWINDER,0,1.82E-06,0,0.000179709,0.000350508
KUMAR,0,5.93E-06,0,0.00020367,0.000350508
KUN,0,0,0,0.000293524,0
KUO,0,0,0,0.000131786,0
KURT,2.18E-05,0.00074747,0.000142875,7.79E-05,0.000233672
KURTIS,0,8.21E-05,0,3.00E-05,0
KWANG,0,1.82E-06,0,0.000389368,0
KWOK,0,0,0,0.000335456,0
KWONG,0,0,0,0.000107825,0
KY,0,3.65E-06,0,0.000191689,0.000116836
KYAW,0,0,0,0.000125796,0
KYLA,0,2.01E-05,0,0,0
KYLE,4.91E-05,0.001093158,0.000312539,0.000233621,0.000817853
KYLIE,0,2.51E-05,1.79E-05,5.99E-06,0
KYMBERLY,0,1.28E-05,1.79E-05,5.99E-06,0
KYONG,5.46E-06,2.28E-06,8.93E-06,0.000275553,0
KYRA,0,2.37E-05,7.14E-05,1.20E-05,0
KYU,0,0,0,0.00020367,0
KYUNG,5.46E-06,2.74E-06,0,0.0010483,0.000116836
LACEY,0,7.62E-05,2.68E-05,0,0
LACY,5.46E-06,4.33E-05,7.14E-05,0,0.000116836
LADONNA,0,4.79E-05,0.000303609,5.99E-06,0.000116836
LAEL,0,1.05E-05,0,0,0
LAI,0,4.56E-07,8.93E-06,0.000467242,0
LAILA,1.64E-05,1.87E-05,1.79E-05,5.99E-05,0
LAIRD,0,6.84E-06,0,0,0
LAKISHA,0,1.37E-06,0.00027682,0,0
LAKSHMI,1.09E-05,4.10E-06,0,0.000347436,0.000233672
LAM,0,0,0,0.000539126,0
LAMAR,0,2.46E-05,0.000178594,0,0.000116836
LAMONT,0,1.60E-05,0.000312539,5.99E-06,0
LAN,1.09E-05,6.84E-06,8.93E-06,0.000916513,0
LANA,2.18E-05,0.000190174,9.82E-05,7.19E-05,0.000116836
LANCE,8.19E-05,0.000533126,0.000232172,0.00022164,0.000817853
LANDON,0,3.88E-05,2.68E-05,0,0
LANE,5.46E-06,6.93E-05,4.46E-05,1.20E-05,0.000233672
LANETTE,1.09E-05,2.28E-05,3.57E-05,0,0
LANI,0,3.37E-05,8.93E-06,8.39E-05,0
LANNY,1.09E-05,3.65E-05,1.79E-05,3.00E-05,0
LARA,3.82E-05,0.000141376,1.79E-05,1.80E-05,0.000116836
LARAINE,5.46E-06,1.92E-05,3.57E-05,1.20E-05,0
LARISA,1.09E-05,5.38E-05,0,5.99E-06,0
LARISSA,2.73E-05,5.38E-05,5.36E-05,3.59E-05,0
LARRY,0.00066611,0.002742701,0.003536156,0.000551106,0.003037738
LARS,5.46E-06,4.88E-05,0,0,0
LARUE,0,9.58E-06,0,0,0
LARYSA,0,8.67E-06,0,0,0
LASZLO,0,2.37E-05,0,5.99E-06,0
LATANYA,0,4.56E-07,0.00027682,0,0
LATASHA,1.64E-05,3.19E-06,0.000634008,0,0.000116836
LATISHA,5.46E-06,5.93E-06,0.000232172,0,0
LATONYA,0,9.12E-07,0.000553641,0,0.000233672
LATOYA,2.18E-05,1.82E-06,0.000759023,0,0
LATRICE,5.46E-06,9.12E-07,0.000258961,0,0
LAUNA,0,8.21E-06,0,0,0
LAURA,0.002904675,0.004015544,0.000642938,0.000497194,0.003037738
LAURALEE,0,1.00E-05,0,0,0
LAUREEN,5.46E-06,4.29E-05,2.68E-05,1.20E-05,0.000116836
LAUREL,1.64E-05,0.000254021,8.04E-05,3.59E-05,0.000467344
LAUREN,0.000120118,0.001003316,0.00028575,0.000131786,0.001168361
LAURENCE,2.18E-05,0.000208872,0.000151805,6.59E-05,0.000116836
LAURENE,0,1.92E-05,0,5.99E-06,0
LAURENT,0,1.96E-05,3.57E-05,1.20E-05,0
LAURETTA,5.46E-06,1.82E-05,8.93E-06,0,0
LAURI,1.09E-05,9.30E-05,8.93E-06,0,0
LAURIE,0.000185637,0.001242288,0.000133945,0.000119806,0.000817853
LAURIN,0,9.12E-06,0,0,0
LAURO,0.000185637,1.82E-06,0,4.19E-05,0
LAVERN,0,1.78E-05,0.000116086,0,0
LAVERNE,1.64E-05,4.24E-05,0.000464344,1.20E-05,0
LAVON,0,1.32E-05,5.36E-05,5.99E-06,0
LAVONNE,1.09E-05,3.51E-05,8.04E-05,0,0
LAWANDA,0,4.10E-06,0.000250031,0,0
LAWRENCE,0.000551452,0.001898091,0.0017145,0.000682892,0.001402033
LAYNE,0,3.37E-05,0,2.40E-05,0
LAZARO,0.000365814,1.37E-06,0,2.40E-05,0.000116836
LE,0,5.02E-06,8.93E-06,0.00042531,0
LEA,3.28E-05,0.00010626,3.57E-05,0.000125796,0
LEAH,7.64E-05,0.000441915,0.000241102,0.000167728,0.000467344
LEANDRO,0.000158338,3.65E-06,0,3.59E-05,0
LEANN,4.37E-05,0.000114469,2.68E-05,3.59E-05,0.000350508
LEANNA,1.09E-05,4.06E-05,2.68E-05,3.59E-05,0
LEANNE,3.82E-05,0.000171932,8.93E-06,3.59E-05,0.000233672
LEE,0.000131038,0.001028399,0.000991195,0.00062299,0.000350508
LEEANN,5.46E-06,6.52E-05,1.79E-05,3.00E-05,0
LEENA,5.46E-06,8.21E-06,0,0.000185699,0
LEESA,5.46E-06,2.23E-05,8.93E-06,0,0
LEI,5.46E-06,1.37E-06,0,0.000670912,0
LEIF,5.46E-06,4.01E-05,0,0,0.000116836
LEIGH,1.64E-05,0.000272263,8.04E-05,4.79E-05,0.000116836
LEIGHTON,0,1.14E-05,8.93E-05,2.40E-05,0
LEILA,5.46E-05,5.56E-05,8.93E-05,0.000125796,0
LEILANI,1.64E-05,1.96E-05,1.79E-05,0.000137777,0.000116836
LEISA,0,2.87E-05,3.57E-05,0,0
LELA,1.09E-05,2.10E-05,0.000133945,0,0
LELAND,5.46E-06,0.000103524,5.36E-05,8.99E-05,0
LELIA,2.18E-05,7.75E-06,8.93E-05,5.99E-06,0
LEN,0,1.64E-05,3.57E-05,5.39E-05,0
LENA,6.55E-05,9.71E-05,0.00029468,0.000161738,0.000233672
LENARD,0,1.23E-05,2.68E-05,1.80E-05,0
LENNY,2.18E-05,1.32E-05,2.68E-05,3.59E-05,0
LENORA,1.64E-05,3.60E-05,0.000214313,2.40E-05,0.000116836
LENORE,2.73E-05,6.93E-05,6.25E-05,1.20E-05,0
LEO,0.000294835,0.000299171,0.000312539,0.000377388,0.000233672
LEOBARDO,0.000245696,0,0,0,0
LEON,0.000120118,0.000230307,0.001178719,0.000173718,0.00058418
LEONA,1.64E-05,7.11E-05,0.000142875,3.00E-05,0
LEONARD,0.000327595,0.000739261,0.001160859,0.000233621,0.000817853
LEONARDO,0.000917266,2.51E-05,8.93E-06,0.000197679,0
LEONEL,0.000704329,5.02E-06,1.79E-05,1.20E-05,0
LEONID,1.09E-05,6.61E-05,0,5.99E-06,0
LEONOR,0.000311215,5.02E-06,8.93E-06,4.79E-05,0
LEONORA,3.28E-05,1.19E-05,4.46E-05,0.000131786,0
LEOPOLDO,0.000600591,5.47E-06,0,7.79E-05,0.000116836
LEORA,0,1.37E-05,0,1.20E-05,0.000233672
LEROY,0.000136498,0.000195647,0.001384102,3.59E-05,0.000701016
LES,0,2.78E-05,0,1.80E-05,0.000116836
LESA,0,6.43E-05,7.14E-05,0,0.000116836
LESLEE,0,3.10E-05,0,0,0
LESLEY,4.91E-05,0.000182421,0.000133945,5.99E-05,0.000467344
LESLI,2.18E-05,2.60E-05,0,5.99E-06,0
LESLIE,0.000387654,0.001674626,0.001285875,0.000383378,0.001518869
LESLY,5.46E-05,1.00E-05,8.93E-05,5.99E-06,0.000116836
LESTER,8.74E-05,0.000194735,0.000544711,0.000113815,0.000350508
LESZEK,0,1.60E-05,0,5.99E-06,0
LETA,0,2.33E-05,8.93E-06,5.99E-06,0
LETHA,0,1.73E-05,5.36E-05,0,0
LETICIA,0.002456962,4.61E-05,7.14E-05,0.00022164,0.000233672
LETITIA,2.73E-05,2.33E-05,0.000142875,1.80E-05,0
LEVI,2.73E-05,6.89E-05,8.93E-05,3.00E-05,0
LEVON,0,1.87E-05,4.46E-05,5.99E-06,0.000116836
LEWIS,3.28E-05,0.000285945,0.000419695,7.19E-05,0.000350508
LEX,0,7.75E-06,0,0,0
LEZLIE,0,1.55E-05,0,5.99E-06,0
LI,1.09E-05,1.82E-06,0,0.001761143,0
LIA,3.28E-05,2.46E-05,2.68E-05,3.59E-05,0.000233672
LIAM,5.46E-06,2.92E-05,0,5.99E-06,0
LIAN,5.46E-06,1.37E-06,8.93E-06,0.000197679,0
LIANA,6.55E-05,2.55E-05,2.68E-05,1.80E-05,0
LIANE,5.46E-06,2.74E-05,8.93E-06,7.19E-05,0
LIANG,0,4.56E-07,0,0.00041333,0
LIANNE,0,1.73E-05,0,3.00E-05,0
LIBBY,1.09E-05,2.42E-05,0,0,0
LIDA,3.28E-05,1.87E-05,0,3.59E-05,0
LIDIA,0.00063335,3.56E-05,1.79E-05,3.00E-05,0
LIEM,5.46E-06,4.56E-07,0,0.000227631,0
LIEN,0,0,0,0.000479223,0
LIESL,0,1.41E-05,0,0,0
LIGIA,0.000212937,5.93E-06,0,0,0
LIHUA,0,0,0,0.000113815,0
LIISA,0,7.75E-06,0,0,0
LILA,2.73E-05,5.61E-05,1.79E-05,4.19E-05,0.000116836
LILI,2.18E-05,9.58E-06,0,0.000155747,0.000116836
LILIA,0.00062243,2.42E-05,2.68E-05,0.000185699,0.000116836
LILIAN,0.000256616,2.05E-05,3.57E-05,0.000137777,0.000116836
LILIANA,0.000687949,2.14E-05,0,1.20E-05,0.000116836
LILIBETH,2.73E-05,4.10E-06,0,0.000107825,0
LILIYA,0,1.64E-05,8.93E-06,5.99E-06,0
LILLIAN,0.000447713,0.000211608,0.000598289,0.000365407,0.000233672
LILLIE,5.46E-06,2.33E-05,0.000607219,1.20E-05,0
LILLY,4.91E-05,1.14E-05,1.79E-05,0.000113815,0
LILY,0.000109198,3.56E-05,2.68E-05,0.000934484,0.000116836
LIMING,0,0,0,0.000131786,0
LIN,0,6.84E-06,0,0.000658931,0.000116836
LINA,0.000218397,4.51E-05,2.68E-05,0.000335456,0
LINCOLN,2.73E-05,3.37E-05,0.000160734,6.59E-05,0
LINDA,0.001856371,0.006854016,0.004509492,0.001845007,0.004089263
LINDSAY,2.73E-05,0.000469278,8.04E-05,3.00E-05,0.000233672
LINDSEY,3.82E-05,0.000401326,8.93E-05,9.58E-05,0.000350508
LINDY,0,3.56E-05,0,4.19E-05,0
LINETTE,1.09E-05,1.50E-05,2.68E-05,0,0
LING,5.46E-06,9.12E-07,0,0.000551106,0
LINH,0,3.19E-06,0,0.000934484,0
LINNEA,1.09E-05,2.65E-05,0,0,0.000116836
LINO,0.000180177,6.84E-06,0,1.20E-05,0
LINSEY,5.46E-06,1.37E-05,8.93E-06,1.20E-05,0
LINWOOD,5.46E-06,1.19E-05,0.000223242,0,0
LIONEL,9.83E-05,3.97E-05,0.000375047,5.39E-05,0.000233672
LIOR,0,9.12E-06,0,0,0
LISA,0.001698034,0.006243818,0.003062883,0.001455639,0.003855591
LISANDRO,8.19E-05,0,0,0,0
LISBETH,5.46E-05,1.50E-05,1.79E-05,0,0
LISE,5.46E-06,2.33E-05,2.68E-05,0,0
LISETTE,0.000158338,1.32E-05,0,1.80E-05,0
LISSA,1.64E-05,1.92E-05,0,5.99E-06,0
LISSETTE,0.000174717,4.10E-06,0,0,0
LITA,1.64E-05,9.12E-06,1.79E-05,8.39E-05,0.000116836
LIV,0,7.30E-06,0,0,0
LIVIA,4.37E-05,1.09E-05,8.93E-06,5.99E-06,0
LIVIU,0,8.67E-06,0,0,0
LIXIN,0,0,0,0.000143767,0
LIZ,9.28E-05,1.05E-05,0,1.80E-05,0
LIZA,0.000109198,5.15E-05,4.46E-05,0.000185699,0.000116836
LIZABETH,3.28E-05,3.42E-05,0,5.99E-06,0
LIZBETH,0.000125578,1.37E-05,0,0,0
LIZETTE,0.000158338,5.93E-06,1.79E-05,1.20E-05,0
LJILJANA,0,9.12E-06,0,0,0
LLOYD,2.73E-05,0.000301907,0.000705445,0.000155747,0.000116836
LOAN,0,1.82E-06,0,0.000461252,0
LOC,5.46E-06,4.56E-07,0,0.000533135,0
LOGAN,0,5.93E-05,3.57E-05,1.20E-05,0.000233672
LOI,5.46E-06,4.56E-07,0,0.000263572,0.000116836
LOIS,3.82E-05,0.000560489,0.000625078,9.58E-05,0.000350508
LOLA,4.91E-05,5.47E-05,0.00029468,1.20E-05,0.000233672
LOLITA,5.46E-05,1.09E-05,0.000214313,0.000245602,0
LON,5.46E-06,6.16E-05,2.68E-05,4.79E-05,0
LONA,5.46E-06,2.01E-05,0,5.99E-06,0.000116836
LONG,1.09E-05,4.56E-07,0,0.001084241,0.000116836
LONI,0,1.69E-05,8.93E-06,0,0
LONNA,0,1.50E-05,8.93E-06,0,0
LONNIE,2.18E-05,0.00020568,0.000482203,2.40E-05,0.000350508
LONNY,0,2.74E-05,0,0,0
LORA,3.28E-05,0.000181509,0.000107156,1.20E-05,0.000350508
LORAINE,2.18E-05,3.88E-05,0.000116086,1.80E-05,0
LOREE,0,2.14E-05,0,0,0
LOREEN,1.09E-05,1.82E-05,1.79E-05,1.20E-05,0
LORELEI,5.46E-06,2.51E-05,1.79E-05,3.00E-05,0
LOREN,4.91E-05,0.000212977,7.14E-05,4.19E-05,0.000233672
LORENA,0.001506937,4.65E-05,1.79E-05,3.59E-05,0.000233672
LORENE,5.46E-06,4.74E-05,6.25E-05,5.99E-06,0
LORENZA,0.000109198,1.37E-06,7.14E-05,1.20E-05,0
LORENZO,0.000808068,2.69E-05,0.000464344,0.000101835,0.000116836
LORETO,8.19E-05,5.47E-06,0,7.79E-05,0
LORETTA,0.000174717,0.000377156,0.000696516,8.99E-05,0.00058418
LORI,0.000251156,0.002517867,0.000401836,0.000407339,0.001635705
LORIANN,5.46E-06,2.28E-05,0,0,0
LORIE,3.82E-05,0.000112645,8.93E-05,2.40E-05,0.000116836
LORILEE,0,1.28E-05,0,0,0
LORIN,5.46E-06,3.51E-05,0,1.80E-05,0.000116836
LORINDA,1.09E-05,1.96E-05,1.79E-05,5.99E-06,0
LORNA,2.18E-05,0.000111733,0.000330398,0.000245602,0.000350508
LORNE,0,1.78E-05,3.57E-05,5.99E-06,0
LORRAINE,0.000382194,0.000576907,0.000714375,0.000191689,0.000467344
LORRI,1.09E-05,5.24E-05,2.68E-05,0,0
LORRIE,2.18E-05,9.21E-05,1.79E-05,1.80E-05,0
LORY,1.09E-05,1.50E-05,0,5.99E-06,0.000116836
LOTTIE,0,9.12E-06,8.04E-05,0,0.000116836
LOU,1.64E-05,8.48E-05,6.25E-05,4.79E-05,0.000116836
LOUANN,5.46E-06,3.28E-05,0,5.99E-06,0
LOUANNE,0,1.19E-05,0,0,0
LOUELLA,5.46E-06,9.12E-06,5.36E-05,4.79E-05,0
LOUIE,0.000191097,2.74E-05,4.46E-05,7.19E-05,0.000350508
LOUIS,0.001113823,0.000984618,0.001205508,0.000383378,0.000934689
LOUISA,0,3.06E-05,3.57E-05,0.000107825,0
LOUISE,0.000109198,0.000416832,0.000589359,0.000125796,0.00058418
LOURDES,0.00129946,3.60E-05,5.36E-05,0.000359417,0.000116836
LOWELL,0,0.00010626,4.46E-05,1.20E-05,0
LOYD,0,2.23E-05,8.93E-06,5.99E-06,0
LU,0,1.28E-05,0,0.000155747,0
LUAN,5.46E-06,6.84E-06,0,0.000131786,0
LUANA,1.64E-05,1.37E-05,0,1.80E-05,0
LUANN,1.09E-05,9.21E-05,0,1.20E-05,0
LUANNE,5.46E-06,6.02E-05,0,1.80E-05,0
LUC,0,1.05E-05,3.57E-05,6.59E-05,0
LUCA,1.09E-05,1.28E-05,0,0,0
LUCAS,0.000185637,0.000182877,8.93E-06,4.19E-05,0.000116836
LUCIA,0.000808068,7.21E-05,7.14E-05,0.000149757,0
LUCIAN,0,1.46E-05,0,1.20E-05,0
LUCIANA,4.91E-05,1.28E-05,1.79E-05,1.80E-05,0
LUCIANO,0.000278456,1.69E-05,0,3.00E-05,0.000116836
LUCIE,5.46E-06,1.64E-05,2.68E-05,1.80E-05,0
LUCIEN,5.46E-06,1.64E-05,2.68E-05,1.20E-05,0
LUCILA,0.000283916,1.82E-06,0,4.19E-05,0
LUCILLE,0.000174717,0.000171476,0.000383977,5.39E-05,0.000116836
LUCINDA,5.46E-05,0.000124958,0.000125016,4.19E-05,0.000116836
LUCIO,0.000365814,5.02E-06,0,1.20E-05,0
LUCRETIA,5.46E-06,1.46E-05,7.14E-05,0,0
LUCY,0.000496852,0.000186982,0.00028575,0.000347436,0.000467344
LUCYNA,0,9.12E-06,0,0,0
LUDMILA,5.46E-06,1.46E-05,0,0,0
LUIGI,1.64E-05,4.15E-05,0,0,0
LUIS,0.012874482,0.000135448,2.68E-05,0.000233621,0.000116836
LUISA,0.000480473,2.10E-05,3.57E-05,7.19E-05,0
