firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
ANTON,1.09E-05,7.48E-05,9.82E-05,3.59E-05,0.000116836
ANTONELLA,0,1.60E-05,0,0,0.000116836
ANTONETTE,1.64E-05,1.64E-05,3.57E-05,5.99E-06,0
ANTONIA,0.000704329,5.29E-05,0.000133945,5.99E-05,0.000350508
ANTONIETTA,5.46E-06,1.46E-05,0,5.99E-06,0
ANTONINA,1.09E-05,1.37E-05,0,3.00E-05,0
ANTONINO,6.55E-05,1.37E-05,0,5.99E-06,0
ANTONIO,0.006044127,0.000283209,0.000919758,0.000778737,0.000467344
ANTONY,5.46E-06,3.37E-05,3.57E-05,9.58E-05,0.000116836
ANUP,0,2.74E-06,0,0.000167728,0
ANURADHA,0,2.74E-06,0,0.000323475,0
ANWAR,0,6.84E-06,3.57E-05,0.000101835,0.000116836
APARNA,0,4.56E-06,0,0.00020367,0
APRIL,0.000245696,0.000670397,0.001000125,0.000167728,0.000817853
ARA,0,2.51E-05,8.93E-06,1.20E-05,0
ARACELI,0.000884506,7.75E-06,0,6.59E-05,0.000116836
ARACELY,0.000251156,1.37E-06,0,0,0
ARAM,5.46E-06,1.64E-05,0,5.99E-06,0
ARASH,5.46E-06,1.14E-05,0,3.59E-05,0.000116836
ARCELIA,0.000191097,2.28E-06,0,0,0
ARCHANA,0,3.65E-06,0,0.000245602,0.000116836
ARCHIE,1.64E-05,3.88E-05,0.000348258,2.40E-05,0.000350508
ARDEN,0,2.01E-05,6.25E-05,5.99E-06,0
ARDIS,0,1.37E-05,8.93E-06,0,0
ARI,1.09E-05,3.01E-05,0,2.40E-05,0
ARIANA,8.19E-05,1.23E-05,0,1.20E-05,0.000116836
ARIANNE,1.09E-05,1.28E-05,1.79E-05,0,0
ARIC,1.09E-05,2.37E-05,8.93E-06,5.99E-06,0
ARIE,5.46E-06,1.23E-05,1.79E-05,5.99E-06,0
ARIEL,0.000414954,3.88E-05,3.57E-05,0.000125796,0
ARIF,5.46E-06,5.02E-06,0,0.000143767,0
ARKADIUSZ,0,1.23E-05,0,0,0
ARKADY,0,1.05E-05,0,0,0
ARLA,0,7.30E-06,0,0,0
ARLEEN,1.09E-05,3.83E-05,5.36E-05,3.59E-05,0
ARLEN,5.46E-06,2.05E-05,0,0,0
ARLENE,0.000223857,0.000339759,0.000437555,0.000245602,0.000233672
ARLETTE,1.64E-05,9.12E-06,4.46E-05,1.20E-05,0
ARLIE,0,9.12E-06,0,0,0
ARLINE,1.09E-05,1.69E-05,8.93E-06,1.80E-05,0
ARLYN,1.09E-05,1.23E-05,8.93E-06,2.40E-05,0
ARMAND,1.64E-05,3.01E-05,8.93E-06,4.19E-05,0
ARMANDO,0.003685443,3.60E-05,1.79E-05,0.000275553,0.000116836
ARMEN,1.09E-05,3.74E-05,0,1.80E-05,0
ARMIDA,0.000174717,4.10E-06,0,5.99E-06,0
ARMIN,0,1.32E-05,0,1.20E-05,0
ARNALDO,0.000136498,3.19E-06,0,3.00E-05,0
ARNE,0,1.78E-05,2.68E-05,0,0
ARNEL,5.46E-06,2.74E-06,0,0.000179709,0
ARNO,0,9.12E-06,0,0,0
ARNOLD,0.000251156,0.000219361,0.000401836,0.000257582,0
ARNOLDO,0.000283916,1.37E-06,0,0,0
ARNULFO,0.000480473,9.12E-07,0,4.79E-05,0
ARON,2.18E-05,3.65E-05,8.93E-06,1.20E-05,0
ARSEN,0,8.67E-06,0,0,0
ARSENIO,7.10E-05,5.47E-06,8.93E-06,6.59E-05,0
ART,7.64E-05,2.60E-05,3.57E-05,5.39E-05,0
ARTEMIO,0.000223857,4.56E-07,0,7.19E-05,0
ARTHUR,0.000977325,0.001099999,0.001839516,0.000587048,0.000817853
ARTI,1.09E-05,5.02E-06,8.93E-06,0.000125796,0
ARTUR,1.09E-05,3.10E-05,0,0,0.000116836
ARTURO,0.003401528,2.60E-05,0,0.00020367,0.000116836
ARUN,5.46E-06,1.55E-05,8.93E-06,0.000563087,0.000116836
ARUNA,0,4.56E-06,0,0.000185699,0.000116836
ARVIN,2.73E-05,1.00E-05,0,5.39E-05,0
ARVIND,0,9.12E-06,0,0.000305504,0.000233672
ASA,5.46E-06,1.41E-05,3.57E-05,0,0
ASHA,0,7.30E-06,6.25E-05,0.000353427,0
ASHISH,0,8.21E-06,0,0.000599028,0
ASHLEE,5.46E-06,5.06E-05,1.79E-05,0,0
ASHLEIGH,5.46E-06,3.88E-05,1.79E-05,0,0
ASHLEY,0.000207477,0.000996931,0.000750094,0.000137777,0.000233672
ASHLIE,1.64E-05,1.60E-05,0,0,0
ASHOK,5.46E-06,1.41E-05,0,0.000802698,0.000350508
ASHRAF,0,2.05E-05,0,5.99E-05,0
ASHTON,0,1.28E-05,4.46E-05,0,0.000116836
ASHWIN,5.46E-06,5.93E-06,0,0.000137777,0.000116836
ASIF,5.46E-06,5.93E-06,0,0.000149757,0
ASIM,0,5.93E-06,0,0.000101835,0.000116836
ASMA,0,5.47E-06,8.93E-06,0.000113815,0.000116836
ASTRID,5.46E-05,2.05E-05,8.93E-06,2.40E-05,0
ATHANASIOS,0,1.73E-05,0,0,0
ATHENA,3.82E-05,3.97E-05,3.57E-05,2.40E-05,0
ATUL,0,4.56E-06,0,0.000329466,0
AUBREY,1.64E-05,7.52E-05,0.000187523,3.59E-05,0.000116836
AUDRA,4.91E-05,7.62E-05,0.000116086,0,0.000116836
AUDREY,9.83E-05,0.000389469,0.000964406,0.000143767,0.000467344
AUGUST,1.64E-05,5.79E-05,0,1.20E-05,0
AUGUSTIN,8.74E-05,5.02E-06,3.57E-05,1.20E-05,0
AUGUSTINE,0.000125578,1.46E-05,0.000187523,7.19E-05,0
AUGUSTO,0.000212937,6.84E-06,8.93E-06,8.99E-05,0
AUGUSTUS,0,1.23E-05,7.14E-05,1.20E-05,0
AURA,0.000218397,7.75E-06,8.93E-06,1.80E-05,0
AUREA,0.000109198,9.12E-07,0,5.99E-05,0
AURELIA,0.000169257,1.46E-05,2.68E-05,1.80E-05,0
AURELIO,0.000491392,6.84E-06,0,3.59E-05,0
AURORA,0.000567831,2.42E-05,4.46E-05,0.000251592,0
AUSTIN,5.46E-06,0.000160075,0.000178594,0.000119806,0.000233672
AUTUMN,1.09E-05,7.16E-05,2.68E-05,1.20E-05,0
AVA,2.18E-05,3.47E-05,0.000187523,4.19E-05,0.000233672
AVELINO,9.28E-05,1.37E-06,0,7.19E-05,0
AVERY,0,2.92E-05,0.000187523,1.20E-05,0
AVI,1.09E-05,1.55E-05,0,5.99E-06,0
AVIS,0,1.46E-05,0.000142875,0,0
